Issue Number,Title,State,Comments,Created At,Closed At
6016,Fix a typo in vectorcall code,closed,0,2024-02-21,2024-02-24
6015,"[ENH] Recompile based on file hash, not timestamp",open,3,2024-02-21,N/A
6014,[BUG] '-Wundef' warning when compiling cythonized file with `from cpython cimport bool`,closed,0,2024-02-21,2024-03-28
6013,[ENH] got pandas warning after cythonize ,closed,3,2024-02-19,2024-02-19
6012,Restore except +ddd exception specifications,open,1,2024-02-19,N/A
6011,[BUG] definitions of global constants ,open,1,2024-02-18,N/A
6010,Fix typo in assertion (3.0.x),closed,1,2024-02-18,2024-02-19
6009,[BUG] Cython compiler crashes with `AttributeError: 'NoneType' object has no attribute 'type'`,open,0,2024-02-17,N/A
6008,[3.0.X] Fix call of final fused cdef functions (#6005),closed,0,2024-02-17,2024-02-18
6007,[3.0.x] Warn when function returning python object is marked as noexcept (#5999),closed,1,2024-02-17,2024-02-18
6006,Move Py_UNICODE out of universal utility code,closed,3,2024-02-17,2024-02-20
6005,Fix call of final fused cdef functions,closed,1,2024-02-17,2024-02-17
6004,[BUG] Incompatibility of Integers for Arithmetic Operations with Floating-Point Numbers in Class Instance Methods,open,2,2024-02-17,N/A
6003,Use Python 3.13a4 PyCFunctionFastWithKeywords,closed,3,2024-02-16,2024-02-16
6002,Test for __PYX_ENUM_CLASS_DECL in headers,closed,0,2024-02-15,2024-02-15
6001,"[BUG] Getting ""performance hint: ...""",closed,9,2024-02-15,2024-03-29
6000,Implementation of basic pattern matching cases,open,1,2024-02-14,N/A
5999,Warn when function returning python object is marked as noexcept,closed,17,2024-02-13,2024-02-17
5998,[BUG] Incorrect code generation for += on complex arrays,open,0,2024-02-12,N/A
5997,Use the new large PyLong conversion functions in Py3.13.,closed,3,2024-02-12,2024-05-04
5996,Skip builtin memoryview test on Python 2 (3.0.x),closed,0,2024-02-11,2024-02-12
5995,[ENH] Cast a C pointer to a contiguous memoryview without the GIL,open,1,2024-02-11,N/A
5994,"Reimplement ""Dependencies.strip_string_literals()""",closed,1,2024-02-11,2024-02-13
5993,Force closing gzip file in TestCyCache (#5945),closed,0,2024-02-11,2024-02-12
5992,"add tag for numpy in error test, update actions versions (#5985)",closed,0,2024-02-11,2024-02-12
5991,[3.0.x] Warn about discarting const qualifier (#5987),closed,0,2024-02-11,2024-02-11
5990,Add an example demonstrating applying a function through a function pointer to docs,open,0,2024-02-10,N/A
5989,[BUG] cython.final extension type with fused type method,closed,4,2024-02-10,2024-02-17
5988,Fix memoryview type checking issue,closed,5,2024-02-10,2024-02-11
5987,Warn about discarting const qualifier,closed,2,2024-02-09,2024-02-11
5986,[BUG] Non-deterministic output for local vars with multiple types,open,3,2024-02-08,N/A
5985,"add tag for numpy in error test, update actions versions",closed,3,2024-02-08,2024-02-11
5984,[BUG] Fused type inference does not handle cpdef enum class at runtime,open,2,2024-02-08,N/A
5983,[BUG] Fused type inference does not understand objects created with __new__,open,2,2024-02-07,N/A
5982,[BUG] `Py_UNICODE` is deprecated Python 3.13,closed,5,2024-02-07,2024-02-20
5981,[ENH] `extern +catcher` syntax for non extern cdef functions and methods,open,10,2024-02-07,N/A
5980,[BUG] possible typo in assertion,closed,1,2024-02-07,2024-02-19
5979,[BUG] missing `# tag: numpy` in nogil_buffer_acquisition test,closed,0,2024-02-07,2024-02-11
5978,"""is_extern"" -> ""is_external""",closed,2,2024-02-07,2024-02-08
5977,Unterminated string literal causes cython compiler to go into an infinite loop.,closed,2,2024-02-05,2024-02-13
5976,[BUG] ModuleNotFoundError: No module named 'distutils',closed,5,2024-02-03,2024-02-04
5975,Update doc requirements and pin them to recent versions (#5946),closed,1,2024-02-03,2024-02-03
5974,Fix as_cfunction analysing args in wrong scope,open,0,2024-02-03,N/A
5973,[BUG] __PYX_ENUM_CLASS_DECL showing up in _api.h files without being defined. ,open,2,2024-02-03,N/A
5972,Don't miss a required PyObject_GC_Track() in dealloc,closed,6,2024-02-03,2024-02-27
5971,[BUG] null-deref inside _PyObject_GC_UNTRACK from extention class dealloc method. ,closed,0,2024-02-02,2024-02-27
5970,[BUG] mixing pxd with py files can fail for cfunc,open,0,2024-02-02,N/A
5969,[BUG] ,closed,3,2024-02-02,2024-02-04
5968,Disable unicode test_raiseMemError,closed,0,2024-02-01,2024-02-07
5967,Drop numpy/math.pxd,open,9,2024-01-31,N/A
5966,Fix distutils sources syntax,closed,1,2024-01-31,2024-01-31
5965,[ENH] Report number of Python interactions in annotated HTML,open,2,2024-01-30,N/A
5964,[BUG] Compiler crash in AnalyseExpressionsTransform: 'UnspecifiedType' object has no attribute 'create_from_py_utility_code',open,0,2024-01-30,N/A
5963,Explicitly set exception cause in __Pyx_Generator_Replace_StopIteration,closed,0,2024-01-28,2024-02-11
5962,Improve message when exception values don't match (3.0.x backport),closed,1,2024-01-26,2024-01-27
5961,Tolerate literal globs (GH-5942 backport to 3.0.x),closed,2,2024-01-25,2024-02-27
5960,GH-5942 globs 3.0.9 backport,closed,0,2024-01-25,2024-01-25
5959,[BUG] a = eval(a) does not generate a new variable <a> with a new type,closed,1,2024-01-23,2024-01-24
5958,Add repr methods to GDB classes for debugging purposes,open,1,2024-01-22,N/A
5957,"pyximport: Use relative paths less, and correctly",closed,4,2024-01-21,2024-02-01
5956,Tolerate and escape globbing characters in sys.path,closed,4,2024-01-19,2024-02-18
5955,line break after backtrace frame source,closed,1,2024-01-19,2024-01-26
5954,[ENH] Complex alias indicator,open,1,2024-01-18,N/A
5953,[BUG] Cython `@contextlib.contextmanager` unexpectedly turns StopIteration into a RuntimeError,closed,2,2024-01-18,2024-02-11
5952,Proposal to allow `num_threads` in `prange` to be `-1` for Consistency and Type Safety,open,1,2024-01-18,N/A
5951,[BUG] C++ unordered_map.erase cannot assign type,open,0,2024-01-18,N/A
5950,cygdb step reliability,open,4,2024-01-16,N/A
5949,[ENH] normalize build path,open,7,2024-01-16,N/A
5948,Debugger tab completion and test_libcython_in_gdb support,closed,1,2024-01-15,2024-01-26
5947,Try disabling gc for line-trace tests,closed,2,2024-01-14,2024-01-14
5946,Update doc requirements and pin them to recent versions,closed,4,2024-01-14,2024-01-15
5945,Force closing gzip file in TestCyCache,closed,2,2024-01-14,2024-01-14
5944,Pin the sphinxcontrib-applehelp version,closed,1,2024-01-14,2024-01-14
5943,"Documentation enhancement regarding ""pure python mode"" in the tutorial flow",closed,0,2024-01-13,2024-01-14
5942,[BUG] Package include paths containing literal glob patterns cause exception,closed,1,2024-01-12,2024-02-27
5941,"""failed to import"" warning once per cpdef enum",closed,1,2024-01-10,2024-02-10
5940,Fix types in cpdef_extern_func,closed,1,2024-01-10,2024-01-11
5939,[BUG] C type error in tests/run/cpdef_extern_func.pyx,closed,1,2024-01-08,2024-01-11
5938,"Add another ""types in Shadow.py"" test",closed,0,2024-01-07,2024-01-09
5937,[BUG] new warning `__sync_fetch_and_sub_4` overflows destination,open,5,2024-01-07,N/A
5936,[BUG]  Memory Allocation with C++,closed,2,2024-01-03,2024-01-03
5935,"[ENH] Debugging - ""raise"" exception without actually raising an exception (print stack)",open,1,2024-01-01,N/A
5934,[BUG] Some aliases are unavailable in Python mode (p_uchar),closed,2,2024-01-01,2024-01-01
5933,Override inherited method type,closed,1,2024-01-01,2024-01-01
5932,[BUG] Inherited instance method has wrong type,open,3,2024-01-01,N/A
5931,Fix virtual inheritance for fused types,open,6,2023-12-30,N/A
5930,Compile of Django admin.py with django-mass-edit package creates error when saving,closed,6,2023-12-30,2024-01-13
5929,[BUG] Error Caused by Manually Importing Everything From the `builtins` Module With `from builtins import *`,open,2,2023-12-29,N/A
5928,[BUG] test failure: cpp_stl_any.cast_test on i386 in Debian CI,open,1,2023-12-28,N/A
5927,[BUG] test failure: test_unicode.UnicodeTest.test_raiseMemError on 32bit in Debian CI,closed,6,2023-12-28,2024-02-08
5926,[BUG] test failure: test_fstring.TestCase.test_many_expressions on ppc64el in Debian CI,open,2,2023-12-28,N/A
5925,[BUG] async grpc  *** was never awaited,closed,3,2023-12-28,2023-12-28
5924,Cygdb completion bug fix: handle_brkchars support,closed,3,2023-12-25,2023-12-30
5923,cython-users  not solve,closed,0,2023-12-25,2023-12-25
